日期,開盤價,最高價,最低價,收盤價,漲跌價差,成交筆數
111/09/01,495,495.5,490,490.5,-14.5,"93,631"
111/09/02,488,489.5,485,485,-5.5,"71,175"
111/09/05,485,488,484,486,1,"27,611"
111/09/06,488.5,491.5,486.5,489,3,"18,950"
111/09/07,477,478,472,472.5,-16.5,"101,077"
111/09/08,473,475,472,475,2.5,"37,943"
111/09/12,485,491,485,486.5,11.5,"26,764"
111/09/13,495,495,491,493,6.5,"20,511"
111/09/14,478.5,482.5,476,480,-13,"47,333"
111/09/15,476,480,476,476.5,-3.5,"35,435"
111/09/16,470.5,472,469,472,-4.5,"51,619"
111/09/19,472,473,466.5,467,-5,"45,650"
111/09/20,470.5,478,470,476.5,9.5,"20,621"
111/09/21,473.5,475.5,468.5,471,-5.5,"30,847"
111/09/22,462,468,459,464.5,-6.5,"53,974"
111/09/23,458.5,460.5,455,455,-9.5,"82,492"
111/09/26,443,454,443,446.5,-8.5,"75,861"
111/09/27,449,451.5,446,448,1.5,"29,995"
111/09/28,447,449,438,438,-10,"78,780"
111/09/29,443,443.5,432,435,-3,"70,971"
111/09/30,424.5,427.5,422,422,-13,"87,052"
